                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     82,                0.32948,                0.57511,                0.30238,                0.89116,                0.83968,                0.85107,                0.86821,                0.75239,                0.83889,                0.84757,                0.86373,                0.71745,                0.52111,                 1.3228,                0.63662,                 1.0341,              0.0001981,              0.0001981,              0.0001981
                     83,                0.32648,                0.57084,                0.29751,                0.88962,                0.83996,                0.85042,                0.86802,                  0.752,                0.83913,                0.84708,                0.86411,                0.71719,                0.52085,                 1.3239,                0.63646,                 1.0335,              0.0001882,              0.0001882,              0.0001882
                     84,                0.32547,                0.56825,                 0.2919,                0.88826,                0.83949,                0.84942,                0.86796,                0.75261,                0.83883,                0.84662,                0.86486,                0.71833,                0.52059,                 1.3278,                0.63706,                 1.0332,              0.0001783,              0.0001783,              0.0001783
                     85,                0.32178,                0.56121,                0.28857,                0.88545,                0.83781,                 0.8499,                0.86814,                0.75273,                0.84028,                 0.8444,                0.86441,                 0.7181,                0.52046,                 1.3263,                0.63839,                  1.033,              0.0001684,              0.0001684,              0.0001684
                     86,                 0.3182,                0.55634,                0.28353,                0.88397,                0.84057,                0.84755,                0.86788,                0.75236,                0.84104,                0.84279,                0.86418,                0.71776,                0.52018,                 1.3303,                0.63804,                 1.0332,              0.0001585,              0.0001585,              0.0001585
                     87,                0.31407,                0.54925,                0.27823,                0.88248,                0.84079,                  0.847,                0.86806,                 0.7529,                 0.8398,                 0.8447,                 0.8639,                0.71793,                0.52053,                 1.3336,                 0.6382,                 1.0339,              0.0001486,              0.0001486,              0.0001486
                     88,                0.31118,                0.53941,                0.27637,                0.88263,                0.84001,                 0.8472,                0.86791,                0.75306,                 0.8411,                0.84259,                0.86361,                0.71824,                0.52064,                 1.3352,                0.63722,                 1.0341,              0.0001387,              0.0001387,              0.0001387
                     89,                 0.3085,                0.53684,                0.27103,                0.87952,                   0.84,                 0.8465,                 0.8675,                0.75278,                0.84013,                0.84196,                0.86325,                0.71812,                0.52289,                 1.3361,                0.63671,                 1.0371,              0.0001288,              0.0001288,              0.0001288
                     90,                0.30565,                0.53142,                 0.2652,                0.87911,                0.84117,                0.84531,                0.86729,                0.75269,                0.84222,                0.84144,                0.86308,                 0.7181,                0.52073,                 1.3391,                0.63875,                 1.0345,              0.0001189,              0.0001189,              0.0001189
                     91,                0.26928,                0.47609,                0.22262,                0.85474,                 0.8426,                0.84647,                0.86712,                0.75258,                0.84428,                0.84135,                0.86309,                0.71803,                0.52208,                 1.3418,                0.63994,                 1.0368,               0.000109,               0.000109,               0.000109
                     92,                0.26122,                0.46033,                0.21247,                0.85167,                0.84376,                  0.846,                0.86677,                0.75222,                0.84316,                0.84325,                0.86233,                0.71827,                0.52236,                 1.3429,                0.64027,                 1.0375,               9.91e-05,               9.91e-05,               9.91e-05
                     93,                0.25695,                0.45687,                0.20718,                0.85027,                0.84008,                0.84762,                0.86637,                0.75192,                0.84245,                0.84356,                0.86185,                0.71788,                0.52294,                 1.3447,                 0.6402,                 1.0387,               8.92e-05,               8.92e-05,               8.92e-05
                     94,                0.25105,                0.44259,                0.19977,                0.84761,                  0.846,                0.84343,                0.86668,                0.75246,                 0.8443,                0.84155,                0.86196,                0.71859,                0.52318,                 1.3452,                0.64139,                 1.0395,               7.93e-05,               7.93e-05,               7.93e-05
                     95,                0.24457,                0.43505,                0.19344,                0.84323,                0.84289,                0.84551,                0.86664,                0.75254,                0.84394,                0.84153,                0.86208,                0.71885,                0.52373,                 1.3478,                0.64166,                 1.0407,               6.94e-05,               6.94e-05,               6.94e-05
                     96,                0.23965,                0.42857,                0.18788,                 0.8394,                0.84399,                0.84348,                0.86657,                0.75298,                0.84195,                0.84137,                0.86234,                0.71911,                 0.5237,                 1.3519,                0.64385,                  1.041,               5.95e-05,               5.95e-05,               5.95e-05
                     97,                0.23609,                0.42139,                0.18344,                0.83793,                0.84384,                0.84382,                0.86674,                 0.7533,                0.84189,                0.84142,                 0.8623,                0.71882,                0.52461,                 1.3552,                  0.645,                 1.0421,               4.96e-05,               4.96e-05,               4.96e-05
                     98,                0.23295,                 0.4142,                0.17945,                0.83736,                0.84503,                0.84309,                0.86654,                 0.7539,                0.84258,                0.84095,                0.86229,                0.71952,                0.52491,                  1.361,                0.64652,                 1.0426,               3.97e-05,               3.97e-05,               3.97e-05
                     99,                0.22709,                0.40736,                0.17364,                0.83438,                0.84658,                0.84267,                0.86643,                0.75391,                0.84411,                0.84036,                0.86222,                0.71931,                0.52505,                 1.3648,                0.64799,                 1.0431,               2.98e-05,               2.98e-05,               2.98e-05
                    100,                0.22493,                0.40474,                 0.1712,                0.83331,                0.84557,                0.84298,                0.86613,                0.75359,                0.84327,                0.84132,                0.86189,                0.71941,                0.52598,                 1.3665,                0.64888,                 1.0446,               1.99e-05,               1.99e-05,               1.99e-05
